"model_type","train_batch","species","horizon","skill"
"gam_ar_scores",3,"all_series",4,0.296532163748663
"gam_ar_scores",3,"all_series",5,0.420289448464514
"gam_ar_scores",3,"all_series",6,0.178792658473864
"gam_ar_scores",3,"DO",1,0.924391297536301
"gam_ar_scores",3,"DO",2,-1.08655687162657
"gam_ar_scores",3,"DO",3,-1.52566771004074
"gam_ar_scores",3,"DO",4,-4.55361018628778
"gam_ar_scores",3,"DO",5,-0.907108936024002
"gam_ar_scores",3,"DO",6,-2.8428374740273
"gam_ar_scores",3,"DM",1,0.558792539188716
"gam_ar_scores",3,"DM",2,0.86010763016716
"gam_ar_scores",3,"DM",3,0.497264681169869
"gam_ar_scores",3,"DM",4,0.85035629029227
"gam_ar_scores",3,"DM",5,0.667557801945305
"gam_ar_scores",3,"DM",6,0.695283639043311
"gam_ar_scores",3,"DS",1,-1.90086578743212
"gam_ar_scores",3,"DS",2,-1.96938200290092
"gam_ar_scores",3,"DS",3,-2.17935723685729
"gam_ar_scores",3,"DS",4,-2.74043297988037
"gam_ar_scores",3,"DS",5,-4.26705346457728
"gam_ar_scores",3,"DS",6,-5.73657290558004
"gam_ar_scores",3,"PP",1,0.484523541514131
"gam_ar_scores",3,"PP",2,0.522047470075989
"gam_ar_scores",3,"PP",3,0.487390264672014
"gam_ar_scores",3,"PP",4,0.536520426187906
"gam_ar_scores",3,"PP",5,0.693046860312661
"gam_ar_scores",3,"PP",6,0.23414387145283
"gam_ar_scores",3,"PB",1,-1.35574579795898
"gam_ar_scores",3,"PB",2,-0.66819667316673
"gam_ar_scores",3,"PB",3,-0.398894840123687
"gam_ar_scores",3,"PB",4,-0.325129026273722
"gam_ar_scores",3,"PB",5,-0.900186901154059
"gam_ar_scores",3,"PB",6,-0.338497495566837
"gam_ar_scores",3,"PF",1,0.564227112083473
"gam_ar_scores",3,"PF",2,0.457107337286337
"gam_ar_scores",3,"PF",3,0.442209017986713
"gam_ar_scores",3,"PF",4,0.385722457162073
"gam_ar_scores",3,"PF",5,-0.090244851267654
"gam_ar_scores",3,"PF",6,0.18031339227476
"ar_scores",1,"all_series",1,0.592962101216417
"ar_scores",1,"all_series",2,0.49392954797942
"ar_scores",1,"all_series",3,0.105568916611144
"ar_scores",1,"all_series",4,0.310861133284315
"ar_scores",1,"all_series",5,0.304445227372106
"ar_scores",1,"all_series",6,0.318755748196266
"ar_scores",1,"DO",1,0.915192485466094
"ar_scores",1,"DO",2,-1.06496891801353
"ar_scores",1,"DO",3,-1.55674943651038
"ar_scores",1,"DO",4,-5.03390597478167
"ar_scores",1,"DO",5,-1.10924418767391
"ar_scores",1,"DO",6,-3.76663268772039
"ar_scores",1,"DM",1,0.806173647626329
"ar_scores",1,"DM",2,0.731937154338884
"ar_scores",1,"DM",3,0.740143885294519
"ar_scores",1,"DM",4,0.700389573699305
"ar_scores",1,"DM",5,0.709012435227794
"ar_scores",1,"DM",6,0.684468212538167
